artifact,sha256,path
orb_binary,cebeeedb862a469f9b4928fc0712fd0fd93766d4a4b5faa09e7de5a0f19083fc,/home/ma/SLAM/orb_slam3_lineage_ws/src/ORB_SLAM3-lineage/Examples_old/Monocular/mono_euroc_old
orb_library,05a7b3cc8aa7aaefec38ce995de9fbf808662c051f1ce1f0f35925f2e6093af8,/home/ma/SLAM/orb_slam3_lineage_ws/src/ORB_SLAM3-lineage/lib/libORB_SLAM3.so
runner,6ffedc001ae51b6b80a391c4dad3a6cbd917037968a1e94e582f98e78a4c4c77,/home/ma/AQUA-FE_WS/scripts/run_orbslam3_seeded_triplet.sh
dataset_exporter,9fa7ea34a40537126037e09cfb31c29100093ecbcfd028246e96f014456ad5ac,/home/ma/AQUA-FE_WS/scripts/prepare_orbslam3_aqualoc_bag.py
selector_runner,0b6d1d2d049732ce536ca478ae1a146f8ce78169a2a9fb1264307ffb3b0be549,/home/ma/AQUA-FE_WS/scripts/prepare_causal_multilineage_bag.sh
sidecar_generator,9afc6f7083f76bf1f7c6b7c19f79f02a98160663c945479b51492fa19cb3ace7,/home/ma/AQUA-FE_WS/uw_frontend/ros/xfeat_seed_sidecar_node.py
sidecar_config,c98df8dcf6a58261798d06433f52a8bf02bf39968a52fe85475284f845229d38,/home/ma/AQUA-FE_WS/uw_frontend/configs/experiments/cirs_xfeat_seedchain_klt_probe.yaml
orb_camera_config,a1c73bfc2f482fe4029cc5dfa8b7b10112ec364acd1d79ff90c63beb62b8e83d,/mnt/data/AQUA-FE_WS/logs/orbslam3_validation/aqualoc_harbor07_mono.yaml
h05_raw_bag,109c97c1d1b655226b9ca1da312c154b28b3cc8464d58150b7cd4d91e6ba3ecb,/mnt/data/AQUA-FE_WS/datasets/aqualoc/full_bags/harbor_sequence_5/harbor_sequence_5.bag
h05_official_groundtruth,960dab529942875ed25f9d2b6dbde2adf34f86a12adf7d9b07459cf5fb9ec846,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_groundtruth_files/new_harbor_colmap_traj_sequence_05.txt
h05_gt_source_bag,8c7227dab679eb7759e673b80676139800103426c4f1268937d35636fb4745cd,/mnt/data/AQUA-FE_WS/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe4_h05_900_1240/features.bag
h05_dataset_metadata,af7cf6f243dfd67d26bb1fc724e35154259ed98e2a3b3080522a9c40bcba780f,/mnt/data/AQUA-FE_WS/orbslam3_validation/aqualoc_h05_900_1240_clean_20260805/dataset/export_metadata.json
h05_dataset_times,ffb170e5143f4f1cae93e26a204f41f34594845e091434e49ffd8b1c3e1eec67,/mnt/data/AQUA-FE_WS/orbslam3_validation/aqualoc_h05_900_1240_clean_20260805/dataset/cam0_times.txt
h05_dataset_groundtruth,38f4bb972a99dc0e795e36225e7c240c6ec07f664cf8c7db1964ef1f2b5d3995,/mnt/data/AQUA-FE_WS/orbslam3_validation/aqualoc_h05_900_1240_clean_20260805/dataset/groundtruth_tum.txt
h05_selector_manifest,6b37d41f55607cc234f2b6ed53eb556da0a1aaf72dd358f1db461cddd81efb72,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/multilineage/aqualoc_h05_900_1240/n3_d14_min8_ignore0_clean_20260805/manifest.txt
