record_type,window_id,run_slug,arm,source,feature_id,action_selected_feature_index,action_raw_frame_index,action_timestamp_ns,internal_candidate_birth,internal_candidate_last_survival,internal_identity_evidence,first_published_selected_feature_index,last_published_selected_feature_index,published_selected_feature_indices_json,first_published_raw_frame_index,last_published_raw_frame_index,first_published_timestamp_ns,last_published_timestamp_ns,published_observations,longest_consecutive_published_observations,feature_bag_observations_available_to_backend,backend_replay_received_observations,backend_actual_feature_set_or_residual_use,initializer_triangulation_eligible_by_observation_count,nonlinear_residual_eligible_by_observation_count,publication_termination_evidence,next_output_selected_feature_index,next_output_tracker_learned_count,next_output_pre_gate_sidecars,next_output_final_input_sidecars,next_output_horizon_blocked,next_output_benefit_reason,run_pre_final_sidecars_consuming_budget,run_published_learned_observations,run_pre_final_minus_published,feature_id_collision_in_any_message,baseline_observations_for_donor_id,v2_observations_for_donor_id,baseline_selected_feature_indices_json,v2_selected_feature_indices_json,actual_missing_observations_vs_klt,missing_selected_feature_indices_json,donor_reappeared_after_action,first_reappearance_selected_feature_index,v2_donor_contiguous_after_first_appearance,klt_counterfactual_future_frames_from_action_audit,candidate_observations_added_on_action_frame,notes
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000000,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,3,3,[3],7,7,1542828792085880800,1542828792085880800,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,4,35,35,0,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000004,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,3,3,[3],7,7,1542828792085880800,1542828792085880800,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,4,35,35,0,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000007,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,3,3,[3],7,7,1542828792085880800,1542828792085880800,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,4,35,35,0,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000015,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,2,2,[2],5,5,1542828791986278080,1542828791986278080,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,3,36,36,23,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000016,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,2,2,[2],5,5,1542828791986278080,1542828791986278080,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,3,36,36,23,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000017,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,2,2,[2],5,5,1542828791986278080,1542828791986278080,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,3,36,36,23,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000018,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,2,2,[2],5,5,1542828791986278080,1542828791986278080,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,3,36,36,23,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
learned_lineage,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,superpoint_lightglue,10000021,,,,Unknown (per-ID internal state not instrumented),Unknown (per-ID internal state not instrumented),Only aggregate tracker/source-provenance counts exist after the final published frame,2,2,[2],5,5,1542828791986278080,1542828791986278080,1,1,1,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),False,False,upstream_sequence_observation_budget; exact_same_identity=Unknown,3,36,36,23,0,online_seed_budget,50,8,42,False,,,,,,,,,,,,"Processed-frame age is not lineage lifetime. Published IDs are exact bag observations. The locked backend accepts all received IDs, can triangulate >=2-observation tracks during initialization, and requires >=4 stored observations for nonlinear visual residuals."
donor_event,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,gftt,361,2,5,1542828791986278080,,,,,,,,,,,,,,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),,,,,,,,,,,,,False,1,0,[2],[],1,[2],False,,True,0,1,"Future KLT visibility is an offline counterfactual, not online information. Missing count is computed from the actual fresh-KLT and v2 bags."
donor_event,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,gftt,362,2,5,1542828791986278080,,,,,,,,,,,,,,Unknown (no per-ID backend receipt; containing feature message was replayed in 3/3 completed backend runs),Unknown (locked backend has no per-ID feature-set/residual receipt),,,,,,,,,,,,,False,1,0,[2],[],1,[2],False,,True,0,1,"Future KLT visibility is an offline counterfactual, not online information. Missing count is computed from the actual fresh-KLT and v2 bags."
